"RelativePath","FullPath","Extension","AuthorityTier","LengthBytes","Sha256"
"docs\governance\ROADMAP_CURRENT.json","G:\s43_work\s43_g11_work\docs\governance\ROADMAP_CURRENT.json",".json","CANONICAL_MACHINE_ROADMAP","96801","58bfb0b6b3325f0db253b1928e5d98ad8cc7470b3e6ee825456e4debcdc6dbc5"
"docs\governance\ROADMAP_CURRENT.json.RETIRED.txt","G:\s43_work\s43_g11_work\docs\governance\ROADMAP_CURRENT.json.RETIRED.txt",".txt","GOVERNANCE_DOC","172","19eae2f75c19695bc9c9bd8d4740b4a95d865e988517c2c9979887fcd112a040"
"docs\governance\ROADMAP_MANIFEST.json","G:\s43_work\s43_g11_work\docs\governance\ROADMAP_MANIFEST.json",".json","GOVERNANCE_DOC","753","3caf63485a17743d48ad28c30ebb4f9f762f06c48a617f5886b4e9e1ae319ec7"
"docs\governance\ROADMAP_STEWARDSHIP_50Y.md","G:\s43_work\s43_g11_work\docs\governance\ROADMAP_STEWARDSHIP_50Y.md",".md","GOVERNANCE_DOC","435","1312dda8490ca9da6f37ce0de7ee01bae86a9f8357123384c831536bafe6cb06"
"docs\governance\RUNBOOK-OPTION-A-RESTORE-20260728-051917.md","G:\s43_work\s43_g11_work\docs\governance\RUNBOOK-OPTION-A-RESTORE-20260728-051917.md",".md","GOVERNANCE_DOC","938","c81ac8987b793d5272a744198bdf883780cb4ab9bd09760cfdc36773d0044362"
"docs\governance\safe-merge-required-check-registration.md","G:\s43_work\s43_g11_work\docs\governance\safe-merge-required-check-registration.md",".md","GOVERNANCE_DOC","1079","d2a4ca8a2447e21617a5a18119cec6558486a5ee6f62abb8e31c988601f2cf55"
"docs\governance\SOURCE_OF_TRUTH_HIERARCHY.md","G:\s43_work\s43_g11_work\docs\governance\SOURCE_OF_TRUTH_HIERARCHY.md",".md","GOVERNANCE_DOC","2242","5f22689d86b216e4f7a5ba979ce3d81c90aa41f231330335b59e194573dcd2e5"
"docs\governance\SOURCE_OF_TRUTH_POLICY.md","G:\s43_work\s43_g11_work\docs\governance\SOURCE_OF_TRUTH_POLICY.md",".md","GOVERNANCE_DOC","626","381bd194d26a635dc2109e8d65a3a104440aa0a2b9b558120ae28b5eb636978f"
"docs\governance\SUPPLY_CHAIN_POLICY.md","G:\s43_work\s43_g11_work\docs\governance\SUPPLY_CHAIN_POLICY.md",".md","GOVERNANCE_DOC","623","3eb199d60ac4176bc02338503a93d45e1683bff7af5bc86256fd88e13d899970"
"docs\governance\WORK_PROTOCOL.md","G:\s43_work\s43_g11_work\docs\governance\WORK_PROTOCOL.md",".md","GOVERNANCE_DOC","1909","dbea744cfa3cb3aa760c5b29805aa009eb89fe2ae4a9a69858166b52d6b182a4"
"scripts\_mcp03-env.ps1","G:\s43_work\s43_g11_work\scripts\_mcp03-env.ps1",".ps1","SCRIPT_SUPPORT","1203","67922895cc7f44b9f2d1a8fb42808bedecae064d4cdc098c44e515d7855fa423"
"scripts\atomic_roadmap_writer.py","G:\s43_work\s43_g11_work\scripts\atomic_roadmap_writer.py",".py","SCRIPT_SUPPORT","3912","f09f67fb8fd67213c60f20d4db1e12a96fbcc7e9e753b61ed5844a921692b60c"
"scripts\build-mcp03-evidence.ps1","G:\s43_work\s43_g11_work\scripts\build-mcp03-evidence.ps1",".ps1","SCRIPT_SUPPORT","1261","94b26de5da296ce885db822838b70e07a3d010e7897b102ab3008346f8aa2a5d"
"scripts\calibrate_genesis.py","G:\s43_work\s43_g11_work\scripts\calibrate_genesis.py",".py","SCRIPT_SUPPORT","2321","6f5a41d40c40211345251ef33d7e5dcb90a2da0c990f2da5080ad3d0ddae8bb1"
"scripts\check_evidence_gate.py","G:\s43_work\s43_g11_work\scripts\check_evidence_gate.py",".py","SCRIPT_SUPPORT","1120","5d4a41938a7358b430758e748e3033097f9664be43a1134c1a42ad6e2a587e04"
"scripts\close-partials-governance.ps1","G:\s43_work\s43_g11_work\scripts\close-partials-governance.ps1",".ps1","SCRIPT_SUPPORT","11642","b5f3126ac104dc18eb6d37d39734ba3ea9c8ded9fe1b27d38fc34da1abba76cd"
"scripts\collect-roadmap-runtime-evidence.ps1","G:\s43_work\s43_g11_work\scripts\collect-roadmap-runtime-evidence.ps1",".ps1","SCRIPT_SUPPORT","8178","a368ba311fc6bf2028239fa31edeeb673c2524dd0294b98aa89d5f1998f5966f"
"scripts\finalize-governance-cleanup.ps1","G:\s43_work\s43_g11_work\scripts\finalize-governance-cleanup.ps1",".ps1","SCRIPT_SUPPORT","9766","e31b29cb593f172033cab95e093c05fdcc60a1ff2223949e3d738f7500fcde2c"
